2023/09/25	15:07:36	63354c0a-e3ed-4799-a289-c5b2621ad9dc	GET	undefined	/employees
2023/09/25	15:08:06	a8525bb7-a78a-4ea7-929f-2776bda7cdf7	GET	undefined	/employees
2023/09/25	15:08:11	9cababa0-157a-47da-bcf6-12ff28e681d5	POST	undefined	/auth
2023/09/25	15:08:18	8cd0b0aa-e052-4847-85c6-455fa19b5307	GET	undefined	/employees
2023/09/25	15:08:51	b2ecb9c4-27a9-4341-8592-67f79b8215b8	POST	undefined	/employees
2023/09/25	15:08:55	5623585f-7040-4aea-917c-8b036baae10e	POST	undefined	/employees
2023/09/25	15:08:59	90c00678-e972-4170-9be0-c9274cb377a3	POST	undefined	/auth
2023/09/25	15:09:08	d090559a-9475-4b1e-ac5a-c7e775c66978	POST	undefined	/employees
2023/09/25	15:09:17	3f433966-bf8c-4f19-bb08-786d8cff02c5	POST	undefined	/auth
2023/09/25	15:09:23	dcc9338d-6730-49cd-a5e7-8c465de1524a	POST	undefined	/employees
